       logs | GIT_COMMIT=4b5d7ecfd1087f22002bc63658dc5ad3fe30927f GIT_BRANCH=master GIT_TAG=untagged GIT_TREE_STATE=dirty RELEASE_TAG=false DEV_BRANCH=false VERSION=latest
 controller | time="2021-09-11T20:51:57.443Z" level=info msg="Workflow update successful" namespace=argo phase=Pending resourceVersion=8970027 workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.484Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.485Z" level=debug msg="Added into queue: argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.485Z" level=debug msg="Current semaphore Holders. map[argo/synchronization-wf-level-68rms:true]" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.485Z" level=warning msg="Workflow processing has been postponed due to concurrency limit" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:51:57.518Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.518Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.518Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.518Z" level=info msg="Updating node synchronization-wf-level-68rms message: ContainerCreating" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.518Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.518Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.518Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.519Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.519Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Pending" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.519Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.519Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Pending workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.519Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.519Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.519Z" level=debug msg="Log changes patch: {\"status\":{\"conditions\":[{\"status\":\"False\",\"type\":\"PodRunning\"}],\"nodes\":{\"synchronization-wf-level-68rms\":{\"hostNodeName\":\"docker-desktop\",\"message\":\"ContainerCreating\"}}}}"
 controller | time="2021-09-11T20:51:57.537Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:51:57.538Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970031 workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.633Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Pending" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Pending workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:51:57.634Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:00.877Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:00.897Z" level=info msg="Update leases 200"
       logs | stern -l workflows.argoproj.io/workflow 2>&1
       logs | + synchronization-wf-level-68rms › wait
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:21:59.066Z" level=info msg="Starting Workflow Executor" executorType=pns version=untagged
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:21:59.074Z" level=info msg="Creating a pns executor"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:21:59.074Z" level=info msg="Initialized PNS executor (namespace: argo, pod: synchronization-wf-level-68rms, pid: 7)"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:21:59.074Z" level=info msg="Executor initialized" deadline="2021-09-11 15:26:57 +0000 UTC" includeScriptOutput=false namespace=argo podName=synchronization-wf-level-68rms template="{\"name\":\"whalesay\",\"inputs\":{},\"outputs\":{},\"metadata\":{},\"container\":{\"name\":\"\",\"image\":\"docker/whalesay:latest\",\"command\":[\"cowsay\"],\"args\":[\"hello world\"],\"resources\":{}},\"archiveLocation\":{\"archiveLogs\":true,\"s3\":{\"endpoint\":\"minio:9000\",\"bucket\":\"my-bucket\",\"insecure\":true,\"accessKeySecret\":{\"name\":\"my-minio-cred\",\"key\":\"accesskey\"},\"secretKeySecret\":{\"name\":\"my-minio-cred\",\"key\":\"secretkey\"},\"key\":\"synchronization-wf-level-68rms/synchronization-wf-level-68rms\"}}}" version="&Version{Version:untagged,BuildDate:2021-09-09T19:59:28Z,GitCommit:4b5d7ecfd1087f22002bc63658dc5ad3fe30927f,GitTag:untagged,GitTreeState:clean,GoVersion:go1.16.7,Compiler:gc,Platform:linux/amd64,}"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:21:59.076Z" level=info msg="Starting deadline monitor"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:03.864Z" level=info msg="secured root for pid 24 root: runc:[2:INIT] (\"/proc/24/root\")"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:03.864Z" level=info msg="mapped container name \"pid/24\" to pid 24"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:03.916Z" level=info msg="secured root for pid 24 root: cowsay (\"/proc/24/root\")"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:03.916Z" level=info msg="mapped container name \"main\" to pid 24"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.090Z" level=info msg="Watch pods 200"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.797Z" level=info msg="Main container completed"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.797Z" level=info msg="No Script output reference in workflow. Capturing script output ignored"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.797Z" level=info msg="Saving logs"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.799Z" level=info msg="Getting output of main"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.815Z" level=info msg="List pods/log 200"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.828Z" level=info msg="S3 Save path: /tmp/argo/outputs/logs/main.log, key: synchronization-wf-level-68rms/synchronization-wf-level-68rms/main.log"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.828Z" level=info msg="Creating minio client using static credentials" endpoint="minio:9000"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.828Z" level=info msg="Saving file to s3" bucket=my-bucket endpoint="minio:9000" key=synchronization-wf-level-68rms/synchronization-wf-level-68rms/main.log path=/tmp/argo/outputs/logs/main.log
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.862Z" level=info msg="not deleting local artifact" localArtPath=/tmp/argo/outputs/logs/main.log
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.862Z" level=info msg="Successfully saved file: /tmp/argo/outputs/logs/main.log"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.862Z" level=info msg="No output parameters"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.862Z" level=info msg="No output artifacts"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.862Z" level=info msg="Annotating pod with output"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.883Z" level=info msg="Patch pods 200"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.890Z" level=info msg="Killing sidecars []"
       logs | synchronization-wf-level-68rms wait time="2021-09-11T15:22:04.891Z" level=info msg="Alloc=5795 TotalAlloc=13888 Sys=73553 NumGC=3 Goroutines=9"
 controller | time="2021-09-11T20:52:04.864Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:04.865Z" level=info msg="Updating node synchronization-wf-level-68rms status Pending -> Running" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Running" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Running workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.865Z" level=debug msg="Log changes patch: {\"status\":{\"conditions\":[{\"status\":\"True\",\"type\":\"PodRunning\"}],\"nodes\":{\"synchronization-wf-level-68rms\":{\"message\":null,\"phase\":\"Running\"}}}}"
 controller | time="2021-09-11T20:52:04.882Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:04.882Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970053 workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.882Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-68rms\", UID:\"b0204bbd-f87e-4363-a478-1a1f5c29597c\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970053\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowNodeRunning' Running node synchronization-wf-level-68rms"
 controller | time="2021-09-11T20:52:04.893Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:04.985Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Executing node synchronization-wf-level-68rms of Pod is Running" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Executing node synchronization-wf-level-68rms with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=debug msg="Skipped pod synchronization-wf-level-68rms (synchronization-wf-level-68rms) creation: already exists" namespace=argo podPhase=Running workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:04.986Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.775Z" level=debug msg="Syncing all CronWorkflows"
 controller | time="2021-09-11T20:52:05.897Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-68rms" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="argo/synchronization-wf-level-68rms is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Updating node synchronization-wf-level-68rms exit code 0" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Setting node synchronization-wf-level-68rms outputs: {\"artifacts\":[{\"name\":\"main-logs\",\"s3\":{\"key\":\"synchronization-wf-level-68rms/synchronization-wf-level-68rms/main.log\"}}]}" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Updating node synchronization-wf-level-68rms status Running -> Succeeded" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Evaluating node synchronization-wf-level-68rms: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-68rms)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Node synchronization-wf-level-68rms already completed" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Updated phase Running -> Succeeded" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Marking workflow completed" namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=info msg="Checking daemoned children of " namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.898Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-68rms\", UID:\"b0204bbd-f87e-4363-a478-1a1f5c29597c\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970053\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowSucceeded' Workflow completed"
 controller | time="2021-09-11T20:52:05.899Z" level=debug msg="Log changes patch: {\"metadata\":{\"labels\":{\"workflows.argoproj.io/completed\":\"true\",\"workflows.argoproj.io/phase\":\"Succeeded\"}},\"status\":{\"conditions\":[{\"status\":\"False\",\"type\":\"PodRunning\"},{\"status\":\"True\",\"type\":\"Completed\"}],\"finishedAt\":\"2021-09-11T15:22:05Z\",\"nodes\":{\"synchronization-wf-level-68rms\":{\"finishedAt\":\"2021-09-11T15:22:04Z\",\"outputs\":{\"artifacts\":[{\"name\":\"main-logs\",\"s3\":{\"key\":\"synchronization-wf-level-68rms/synchronization-wf-level-68rms/main.log\"}}],\"exitCode\":\"0\"},\"phase\":\"Succeeded\",\"resourcesDuration\":{\"cpu\":6,\"memory\":3}}},\"phase\":\"Succeeded\"}}"
 controller | time="2021-09-11T20:52:05.899Z" level=info msg="Lock has been released by argo/synchronization-wf-level-68rms. Available locks: 1" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:05.899Z" level=debug msg="Enqueue the workflow argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:05.899Z" level=info msg="argo/synchronization-wf-level-68rms released a lock from argo/Mutex/test"
 controller | time="2021-09-11T20:52:05.899Z" level=info msg="Released all acquired locks" key=synchronization-wf-level-68rms namespace=argo workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.908Z" level=info msg="Get leases 200"
 controller | time="2021-09-11T20:52:05.922Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:05.927Z" level=info msg="Update leases 200"
 controller | time="2021-09-11T20:52:05.929Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:05.929Z" level=info msg="Workflow update successful" namespace=argo phase=Succeeded resourceVersion=8970059 workflow=synchronization-wf-level-68rms
 controller | time="2021-09-11T20:52:05.929Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-68rms\", UID:\"b0204bbd-f87e-4363-a478-1a1f5c29597c\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970059\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowNodeSucceeded' Succeeded node synchronization-wf-level-68rms"
 controller | time="2021-09-11T20:52:05.931Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-68rms for delete in 10m0s"
 controller | time="2021-09-11T20:52:05.933Z" level=info msg="Queueing Succeeded workflow argo/synchronization-wf-level-68rms for delete in 10m0s"
 controller | time="2021-09-11T20:52:05.935Z" level=info msg="cleaning up pod" action=labelPodCompleted key=argo/synchronization-wf-level-68rms/labelPodCompleted
 controller | time="2021-09-11T20:52:05.941Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:05.949Z" level=info msg="Patch pods 200"
 controller | time="2021-09-11T20:52:05.999Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Added into queue: argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:06.000Z" level=info msg="argo/Mutex/test acquired by argo/synchronization-wf-level-2-947b5 " mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:06.000Z" level=info msg="Updated phase Pending -> Running" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=info msg="Updated message Waiting for argo/Mutex/test lock. Lock status: 0/1  -> " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Evaluating node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Event(v1.ObjectReference{Kind:\"Workflow\", Namespace:\"argo\", Name:\"synchronization-wf-level-2-947b5\", UID:\"8444aef8-b41e-4a09-be29-7206326d2432\", APIVersion:\"argoproj.io/v1alpha1\", ResourceVersion:\"8970027\", FieldPath:\"\"}): type: 'Normal' reason: 'WorkflowRunning' Workflow Running"
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Initializing node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=info msg="Pod node synchronization-wf-level-2-947b5 initialized Pending" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.000Z" level=debug namespace=argo needLocation=true workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.001Z" level=debug msg="Creating Pod: synchronization-wf-level-2-947b5 (synchronization-wf-level-2-947b5)" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.009Z" level=info msg="Create pods 201"
 controller | time="2021-09-11T20:52:06.010Z" level=info msg="Created pod: synchronization-wf-level-2-947b5 (synchronization-wf-level-2-947b5)" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.010Z" level=info msg="TaskSet Reconciliation" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.010Z" level=info msg=reconcileAgentPod namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.010Z" level=debug msg="Log changes patch: {\"metadata\":{\"labels\":{\"workflows.argoproj.io/phase\":\"Running\"}},\"status\":{\"conditions\":[{\"status\":\"False\",\"type\":\"PodRunning\"}],\"message\":null,\"nodes\":{\"synchronization-wf-level-2-947b5\":{\"displayName\":\"synchronization-wf-level-2-947b5\",\"finishedAt\":null,\"id\":\"synchronization-wf-level-2-947b5\",\"name\":\"synchronization-wf-level-2-947b5\",\"phase\":\"Pending\",\"startedAt\":\"2021-09-11T15:22:06Z\",\"templateName\":\"whalesay\",\"templateScope\":\"local/synchronization-wf-level-2-947b5\",\"type\":\"Pod\"}},\"phase\":\"Running\",\"startedAt\":\"2021-09-11T15:22:06Z\",\"synchronization\":{\"mutex\":{\"holding\":[{\"holder\":\"synchronization-wf-level-2-947b5\",\"mutex\":\"argo/Mutex/test\"}]}}}}"
 controller | time="2021-09-11T20:52:06.021Z" level=info msg="Create events 201"
 controller | time="2021-09-11T20:52:06.032Z" level=info msg="Update workflows 200"
 controller | time="2021-09-11T20:52:06.033Z" level=info msg="Workflow update successful" namespace=argo phase=Running resourceVersion=8970065 workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.114Z" level=info msg="Processing workflow" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Lock is already acquired by argo/synchronization-wf-level-2-947b5" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="argo/synchronization-wf-level-2-947b5 is already holding a lock" mutex=argo/Mutex/test
 controller | time="2021-09-11T20:52:06.114Z" level=info msg="Updating node synchronization-wf-level-2-947b5 message: ContainerCreating" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Evaluating node synchronization-wf-level-2-947b5: template: *v1alpha1.WorkflowStep (whalesay), boundaryID: " namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Resolving the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Getting the template" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Getting the template by name" base="*v1alpha1.Workflow (namespace=argo,name=synchronization-wf-level-2-947b5)" depth=0 tmpl="*v1alpha1.WorkflowStep (whalesay)"
 controller | time="2021-09-11T20:52:06.114Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 of Pod is Pending" namespace=argo workflow=synchronization-wf-level-2-947b5
 controller | time="2021-09-11T20:52:06.115Z" level=debug msg="Executing node synchronization-wf-level-2-947b5 with container template: whalesay\n" namespace=argo workflow=synchronization-wf-level-2-947b5
